Deaths,Cases,dates,cities
2,48,01.1.21,Agadir-Ida -Ou-Tanane
,37,01.1.21,Inezgane- Ait Melloul
,35,01.1.21,Tiznit
,16,01.1.21,Chtouka- Ait Baha
2,13,01.1.21,Taroudannt
2,64,02.1.21,Agadir-Ida -Ou-Tanane
,22,02.1.21,Inezgane- Ait Melloul
,11,02.1.21,Taroudannt
,10,02.1.21,Chtouka- Ait Baha
1,9,02.1.21,Tiznit
,4,02.1.21,Tata
1,66,03.1.21,Agadir-Ida -Ou-Tanane
,32,03.1.21,Tata
,12,03.1.21,Tiznit
,11,03.1.21,Inezgane- Ait Melloul
,7,03.1.21,Taroudannt
,1,03.1.21,Chtouka- Ait Baha
1,56,04.1.21,Agadir-Ida -Ou-Tanane
,18,04.1.21,Inezgane- Ait Melloul
1,13,04.1.21,Tiznit
,10,04.1.21,Taroudannt
,5,04.1.21,Tata
,44,05.1.21,Agadir-Ida -Ou-Tanane
,17,05.1.21,Taroudannt
,13,05.1.21,Chtouka- Ait Baha
,10,05.1.21,Inezgane- Ait Melloul
2,7,05.1.21,Tiznit
,1,05.1.21,Tata
,62,06.1.21,Agadir-Ida -Ou-Tanane
,49,07.1.21,Agadir-Ida -Ou-Tanane
,31,07.1.21,Inezgane- Ait Melloul
,7,07.1.21,Chtouka- Ait Baha
,5,07.1.21,Tiznit
4.0,51.0,08.1.21,Agadir-Ida -Ou-Tanane
,17.0,08.1.21,Inezgane- Ait Melloul
,15.0,08.1.21,Taroudannt
,14.0,08.1.21,Tiznit
,8.0,08.1.21,Chtouka- Ait Baha
,,08.1.21,Tata
4.0,35,09.1.21,Agadir-Ida -Ou-Tanane
,15,09.1.21,Tiznit
,12,09.1.21,Taroudannt
,12,09.1.21,Inezgane- Ait Melloul
,10,09.1.21,Tata
,4,09.1.21,Chtouka- Ait Baha
1,40,10.1.21,Agadir-Ida -Ou-Tanane
1,21,10.1.21,Inezgane- Ait Melloul
3,17,10.1.21,Taroudannt
,1,10.1.21,Tiznit
,34,11.1.21,Agadir-Ida -Ou-Tanane
,10,11.1.21,Inezgane- Ait Melloul
1,9,11.1.21,Tiznit
,3,11.1.21,Taroudannt
,1,11.1.21,Chtouka- Ait Baha
,33,13.1.21,Agadir-Ida -Ou-Tanane
,14,13.1.21,Inezgane- Ait Melloul
,11,13.1.21,Chtouka- Ait Baha
3,36,14.1.21,Agadir-Ida -Ou-Tanane
,20,14.1.21,Inezgane- Ait Melloul
,14,14.1.21,Taroudannt
1,11,14.1.21,Tiznit
,9,14.1.21,Tata
,5,14.1.21,Chtouka- Ait Baha
,50,15.1.21,Agadir-Ida -Ou-Tanane
,15,15.1.21,Inezgane- Ait Melloul
,13,15.1.21,Chtouka- Ait Baha
,8,15.1.21,Taroudannt
,7,15.1.21,Tata
1,3,15.1.21,Tiznit
1,38,16.1.21,Agadir-Ida -Ou-Tanane
,16,16.1.21,Inezgane- Ait Melloul
1,9,16.1.21,Tiznit
,45,17.1.21,Agadir-Ida -Ou-Tanane
,12,17.1.21,Inezgane- Ait Melloul
,5,17.1.21,Taroudannt
,4,17.1.21,Tiznit
,2,17.1.21,Chtouka- Ait Baha
,27,18.1.21,Agadir-Ida -Ou-Tanane
4,10,18.1.21,Taroudannt
,7,18.1.21,Inezgane- Ait Melloul
1,2,18.1.21,Tata
,1,18.1.21,Tiznit
,24,19.1.21,Agadir-Ida -Ou-Tanane
,23,19.1.21,Tiznit
2,10,19.1.21,Inezgane- Ait Melloul
,49,20.1.21,Agadir-Ida -Ou-Tanane
,10,20.1.21,Inezgane- Ait Melloul
,7,20.1.21,Taroudannt
,6,20.1.21,Chtouka- Ait Baha
,5,20.1.21,Tiznit
,1,20.1.21,Tata
1,47,21.1.21,Agadir-Ida -Ou-Tanane
1,16,21.1.21,Inezgane- Ait Melloul
,10,21.1.21,Tiznit
,45,22.1.21,Agadir-Ida -Ou-Tanane
1,39,23.1.21,Agadir-Ida -Ou-Tanane
1,29,23.1.21,Tiznit
,8,23.1.21,Inezgane- Ait Melloul
,5,23.1.21,Tata
,5,23.1.21,Taroudannt
,4,23.1.21,Chtouka- Ait Baha
,30,25.1.21,Agadir-Ida -Ou-Tanane
,14,25.1.21,Inezgane- Ait Melloul
,7,25.1.21,Tiznit
,1,25.1.21,Tata
,23,26.1.21,Agadir-Ida -Ou-Tanane
,6,26.1.21,Inezgane- Ait Melloul
,5,26.1.21,Tiznit
,4,26.1.21,Chtouka- Ait Baha
,2,26.1.21,Taroudannt
?????? ??? ?????,28,28.1.21,Agadir-Ida -Ou-Tanane
?????? ??? ????,8,28.1.21,Inezgane- Ait Melloul
,26,29.1.21,Agadir-Ida -Ou-Tanane
,22,29.1.21,Inezgane- Ait Melloul
1,5,29.1.21,Tiznit
,22,30.1.21,Agadir-Ida -Ou-Tanane
,17,30.1.21,Inezgane- Ait Melloul
,3,30.1.21,Chtouka- Ait Baha
,1,30.1.21,Taroudannt
,32,31.1.21,Agadir-Ida -Ou-Tanane
1,6,31.1.21,Tiznit
,4,31.1.21,Inezgane- Ait Melloul
,2,31.1.21,Taroudannt
,12,01.2.21,Agadir-Ida -Ou-Tanane
,5,01.2.21,Inezgane- Ait Melloul
,2,01.2.21,Taroudannt
,2,01.2.21,Chtouka- Ait Baha
,1,01.2.21,Tiznit
,34,03.2.21,Agadir-Ida -Ou-Tanane
,9,03.2.21,Chtouka- Ait Baha
1,7,03.2.21,Inezgane- Ait Melloul
?????? ??? ?????,34,05.2.21,Agadir-Ida -Ou-Tanane
?????? ??? ????,9,05.2.21,Inezgane- Ait Melloul
?????? ??? ????,8,05.2.21,Chtouka- Ait Baha
????????,5,05.2.21,Taroudannt
?????,4,05.2.21,Tiznit
,15,06.2.21,Agadir-Ida -Ou-Tanane
,6,06.2.21,Tiznit
,15,07.2.21,Agadir-Ida -Ou-Tanane
,10,07.2.21,Inezgane- Ait Melloul
,4,07.2.21,Tiznit
,2,07.2.21,Taroudannt
,1,07.2.21,Tata
,6,08.2.21,Agadir-Ida -Ou-Tanane
1,2,08.2.21,Tiznit
,2,08.2.21,Inezgane- Ait Melloul
1,0,08.2.21,Taroudannt
,15,09.2.21,Agadir-Ida -Ou-Tanane
,4,09.2.21,Tiznit
,24,10.2.21,Agadir-Ida -Ou-Tanane
,8,10.2.21,Inezgane- Ait Melloul
,8,10.2.21,Taroudannt
,2,10.2.21,Chtouka- Ait Baha
,17,12.2.21,Agadir-Ida -Ou-Tanane
,5,12.2.21,Inezgane- Ait Melloul
1,5,12.2.21,Tiznit
,1,12.2.21,Chtouka- Ait Baha
,1,12.2.21,Tata
?????? ??? ?????,27,14.2.21,Agadir-Ida -Ou-Tanane
?????? ??? ????,3,14.2.21,Inezgane- Ait Melloul
????????,11,14.2.21,Taroudannt
,18,17.2.21,Agadir-Ida -Ou-Tanane
,9,20.2.21,Agadir-Ida -Ou-Tanane
1,7,20.2.21,Tiznit
,6,20.2.21,Inezgane- Ait Melloul
?????? ??? ?????,7,21.2.21,Agadir-Ida -Ou-Tanane
?????? ??? ????,4,21.2.21,Inezgane- Ait Melloul
?????? ??? ????,1,21.2.21,Chtouka- Ait Baha
????????,1,21.2.21,Taroudannt
?????,11,24.2.21,Tiznit
?????? ??? ?????,7,24.2.21,Agadir-Ida -Ou-Tanane
?????? ??? ?????,7,26.2.21,Agadir-Ida -Ou-Tanane
?????,3,26.2.21,Tiznit
,10,28.2.21,Agadir-Ida -Ou-Tanane
,3,28.2.21,Inezgane- Ait Melloul
,1,28.2.21,Chtouka- Ait Baha
,4,01.3.21,Agadir-Ida -Ou-Tanane
,1,01.3.21,Tiznit
?????,5,04.3.21,Tiznit
?????? ??? ?????,1,04.3.21,Agadir-Ida -Ou-Tanane
,4,07.3.21,Inezgane- Ait Melloul
,3,07.3.21,Agadir-Ida -Ou-Tanane
,3,07.3.21,Tiznit
?????? ??? ?????,12,10.3.21,Agadir-Ida -Ou-Tanane
?????? ??? ????,8,10.3.21,Inezgane- Ait Melloul
????????,4,10.3.21,Taroudannt
?????,1,10.3.21,Tiznit
?????? ??? ????,9,11.3.21,Inezgane- Ait Melloul
